PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
MAR;mil m3;2016;REGIÃO NORDESTE;ALAGOAS;5505,09958;5530,95954;6027,91565;4907,80608;5790,43459;5570,22521;4396,56586;5291,9132;4669,41209;5171,49237;5016,33657;4593,30617;62471,46691
MAR;mil m3;2016;REGIÃO NORDESTE;SERGIPE;75591,84891;71677,0224;73352,4891;73119,27616;77728,784;73961,97034;78796,19722;80397,7125;75087,5547;75080,54758;66051,05275;63036,94798;883881,4036
MAR;mil m3;2016;REGIÃO NORDESTE;BAHIA;185552,5776;175489,2448;186024,0018;178625,4707;142657,6322;127183,6543;128259,2923;154036,0961;124152,5695;127650,4964;133377,972;130059,8227;1793068,83
MAR;mil m3;2016;REGIÃO SUDESTE;ESPÍRITO SANTO;254421,498;254954,2519;278082,0006;317418,2266;336082,6102;337266,1178;333888,0745;355501,0729;329718,6243;300113,8157;339014,8955;378281,775;3814742,963
MAR;mil m3;2016;REGIÃO SUDESTE;RIO DE JANEIRO;1249844,132;1231521,295;1203593,011;1128884,812;1318953,015;1398263,328;1466866,094;1502123,891;1499214,146;1507955,468;1507661,09;1598200,505;16613080,78
MAR;mil m3;2016;REGIÃO SUDESTE;SÃO PAULO;502467,4748;419283,876;366604,0911;468988,4825;477063,1852;458366,938;512631,5839;481969,2424;554181,6315;556629,5687;493813,6653;540248,4774;5832248,217
MAR;mil m3;2016;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR ;mil m3;2017;REGIÃO NORTE;AMAZONAS;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR;mil m3;2017;REGIÃO NORDESTE;MARANHÃO;;0;0;0;0;0;0;0;0;0;0;0;0
MAR;mil m3;2017;REGIÃO NORDESTE;CEARÁ;2859,10736;2551,52296;2525,3889;2397,28312;2738,12081;2920,49193;2552,52893;2150,82894;2107,524;2280,57083;2327,85367;2675,7105;30086,93195
MAR;mil m3;2017;REGIÃO NORDESTE;RIO GRANDE DO NORTE;16708,9872;17471,21409;18924,8246;16803,74257;7788,11926;17605,13611;15311,52348;16612,85245;14310,90894;13349,93108;13229,2641;13314,93888;181431,4428
MAR;mil m3;2017;REGIÃO NORDESTE;ALAGOAS;4856,80617;2539,73432;4795,15438;4605,99686;5213,74734;5482,10806;4764,77195;5244,81955;4761,87337;3369,83529;5318,08223;6151,8763;57104,80582
MAR;mil m3;2017;REGIÃO NORDESTE;SERGIPE;61385,20254;55509,21004;62203,11092;61375,77924;68539,6456;40633,08827;67558,97889;68094,40607;65615,55285;68455,56185;69055,41379;73345,51795;761771,468
MAR;mil m3;2017;REGIÃO NORDESTE;BAHIA;132642,7209;116698,8248;126911,2315;137410,039;141979,555;125727,2417;166024,6601;166003,3772;151902,0042;163090,5043;168062,1015;182181,2977;1778633,558
MAR;mil m3;2017;REGIÃO SUDESTE;ESPÍRITO SANTO;354835,7682;325176,2478;351970,9841;340471,4217;367845,9117;356112,3579;271439,6437;354184,2459;318246,7985;308481,2691;295238,2122;314718,8833;3958721,744
MAR;mil m3;2017;REGIÃO SUDESTE;RIO DE JANEIRO;1603575,567;1413921,714;1481117,771;1429862,829;1536490,014;1573151,73;1627593,917;1473722,965;1571612,29;1683133,364;1619645,695;1601309,123;18615136,98
