Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,Produção de Óleo (m³),Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
1989,07/1989,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,3-CSMC-8-AL,Terra,Não Informado,"52,7",0,"261,4385",0,"3,1",,,,,,,,
1989,07/1989,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,5-CSMC-9-AL,Terra,Não Informado,0,0,0,175,0,,,,,,,,
1989,07/1989,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-17-AL,Terra,Não Informado,"105,4",0,"192,7611",0,"80,6",,,,,,,,
1989,07/1989,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-20-AL,Terra,Não Informado,0,0,0,38,0,,,,,,,,
1989,07/1989,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-25-AL,Terra,Não Informado,0,0,0,10,0,,,,,,,,
1989,07/1989,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-32-AL,Terra,Não Informado,"275,9",0,"630,8004",0,"3,1",,,,,,,,
1989,07/1989,Alagoas,Alagoas,COQUEIRO SECO,1-CS-1-AL,Terra,Não Informado,0,0,0,587,0,,,,,,,,
1989,07/1989,Alagoas,Alagoas,COQUEIRO SECO,3-CS-3-AL,Terra,Não Informado,"52,7",0,"5,3335",0,"387,5",,,,,,,,
1989,07/1989,Alagoas,Alagoas,COQUEIRO SECO,7-CS-14D-AL,Terra,Não Informado,"27,9",0,"8,5315",0,"12,4",,,,,,,,
1989,07/1989,Alagoas,Alagoas,COQUEIRO SECO,7-CS-15-AL,Terra,Não Informado,"1,7",0,"0,4713",0,"40,8",,,,,,,,
