Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,Produção de Óleo (m³),Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
1991,07/1991,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,3-CSMC-8-AL,Terra,Não Informado,"52,7",0,652,0,0,,,,,,,,
1991,07/1991,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,5-CSMC-9-AL,Terra,Não Informado,0,0,0,474,0,,,,,,,,
1991,07/1991,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-17-AL,Terra,Não Informado,"71,3",0,248,0,"18,6",,,,,,,,
1991,07/1991,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-20-AL,Terra,Não Informado,0,0,0,897,0,,,,,,,,
1991,07/1991,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-25-AL,Terra,Não Informado,0,0,0,933,0,,,,,,,,
1991,07/1991,Alagoas,Alagoas,COQUEIRO SECO,3-CS-3-AL,Terra,Não Informado,"102,6",0,"13,119",0,"923,4",,,,,,,,
1991,07/1991,Alagoas,Alagoas,COQUEIRO SECO,7-CS-14D-AL,Terra,Não Informado,"52,4",0,"17,881",0,"117,2",,,,,,,,
1991,07/1991,Alagoas,Alagoas,FAZENDA PAU BRASIL,1-FPB-3-AL,Terra,Não Informado,364,0,124,0,"26,9",,,,,,,,
1991,07/1991,Alagoas,Alagoas,FURADO,3-FTD-7-AL,Terra,Não Informado,"228,5",0,"284,4398",0,"152,2",,,,,,,,
1991,07/1991,Alagoas,Alagoas,FURADO,3-FTD-8-AL,Terra,Não Informado,0,0,85,0,0,,,,,,,,
1991,07/1991,Alagoas,Alagoas,FURADO,3-FU-4-AL,Terra,Não Informado,"128,5",0,"299,658",0,"0,2",,,,,,,,
1991,07/1991,Alagoas,Alagoas,FURADO,7-FU-100-AL,Terra,Não Informado,"194,3",0,"36,518",0,"3,1",,,,,,,,
1991,07/1991,Alagoas,Alagoas,FURADO,7-FU-103-AL,Terra,Não Informado,"155,4",0,"12,6485",0,0,,,,,,,,
1991,07/1991,Alagoas,Alagoas,FURADO,7-FU-104-AL,Terra,Não Informado,"348,9",0,"303,7185",0,"348,9",,,,,,,,
1991,07/1991,Alagoas,Alagoas,FURADO,7-FU-108-AL,Terra,Não Informado,"147,3",0,"16,8255",0,"3,1",,,,,,,,
1991,07/1991,Alagoas,Alagoas,FURADO,7-FU-113D-AL,Terra,Não Informado,189,0,"74,7489",0,"125,8",,,,,,,,
