Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,Produção de Óleo (m³),Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
1990,07/1990,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,3-CSMC-8-AL,Terra,Não Informado,"49,6",0,"276,0522",0,"3,1",,,,,,,,
1990,07/1990,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-17-AL,Terra,Não Informado,"65,1",0,"129,1165",0,"3,1",,,,,,,,
1990,07/1990,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-32-AL,Terra,Não Informado,"195,3",0,"513,8313",0,"3,1",,,,,,,,
1990,07/1990,Alagoas,Alagoas,COQUEIRO SECO,1-CS-1-AL,Terra,Não Informado,0,0,0,130,0,,,,,,,,
1990,07/1990,Alagoas,Alagoas,COQUEIRO SECO,7-CS-16-AL,Terra,Não Informado,93,0,22,0,"9,3",,,,,,,,
1990,07/1990,Alagoas,Alagoas,FAZENDA PAU BRASIL,1-FPB-3-AL,Terra,Não Informado,302,0,71,0,0,,,,,,,,
1990,07/1990,Alagoas,Alagoas,FURADO,3-FTD-3-AL,Terra,Não Informado,"41,6",0,"4,515",0,0,,,,,,,,
1990,07/1990,Alagoas,Alagoas,FURADO,3-FTD-6-AL,Terra,Não Informado,"125,7",0,"141,1343",0,"83,6",,,,,,,,
1990,07/1990,Alagoas,Alagoas,FURADO,3-FTD-7-AL,Terra,Não Informado,259,0,"229,4483",0,"17,7",,,,,,,,
1990,07/1990,Alagoas,Alagoas,FURADO,3-FTD-8-AL,Terra,Não Informado,0,0,22,0,0,,,,,,,,
1990,07/1990,Alagoas,Alagoas,FURADO,3-FTD-9-AL,Terra,Não Informado,"113,6",0,"12,2542",0,0,,,,,,,,
1990,07/1990,Alagoas,Alagoas,FURADO,3-FU-4-AL,Terra,Não Informado,"143,4",0,"303,863",0,"0,4",,,,,,,,
1990,07/1990,Alagoas,Alagoas,FURADO,3-FU-5-AL,Terra,Não Informado,"119,8",0,"38,6983",0,"10,4",,,,,,,,
1990,07/1990,Alagoas,Alagoas,FURADO,7-FU-100-AL,Terra,Não Informado,"189,1",0,"37,6289",0,0,,,,,,,,
1990,07/1990,Alagoas,Alagoas,FURADO,7-FU-103-AL,Terra,Não Informado,"308,6",0,"26,6824",0,"3,1",,,,,,,,
1990,07/1990,Alagoas,Alagoas,FURADO,7-FU-104-AL,Terra,Não Informado,331,0,"46,4421",0,"22,6",,,,,,,,
1990,07/1990,Alagoas,Alagoas,FURADO,7-FU-105-AL,Terra,Não Informado,"53,9",0,"79,0612",0,"28,9",,,,,,,,
1990,07/1990,Alagoas,Alagoas,FURADO,7-FU-108-AL,Terra,Não Informado,"50,9",0,"6,1406",0,0,,,,,,,,
1990,07/1990,Alagoas,Alagoas,FURADO,7-FU-113D-AL,Terra,Não Informado,"446,9",0,"186,9785",0,"251,5",,,,,,,,
