Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,Produção de Óleo (m³),Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
"2019,01/2019,Alagoas,Alagoas,PARU,4-ALS-39-AL,Mar,Estação de Paru,0,""624,251"",0,""5557,15311"",""334,501"",,,,,,,,"
"2019,01/2019,Bahia,Camamu,MANATI,7-MNT-1-BAS,Mar,PLATAFORMA DE MANATI 1,0,""85,662"",0,""4893,06866"",""18,104"",,,,,,,,"
"2019,01/2019,Bahia,Camamu,MANATI,7-MNT-2-BAS,Mar,PLATAFORMA DE MANATI 1,0,""338,608"",0,""16796,2131"",""63,829"",,,,,,,,"
"2019,01/2019,Bahia,Camamu,MANATI,7-MNT-3-BAS,Mar,PLATAFORMA DE MANATI 1,0,""247,29"",0,""10433,90984"",""42,779"",,,,,,,,"
"2019,01/2019,Bahia,Camamu,MANATI,7-MNT-4-BAS,Mar,PLATAFORMA DE MANATI 1,0,""125,731"",0,""6544,07546"",""28,795"",,,,,,,,"
"2019,01/2019,Bahia,Camamu,MANATI,7-MNT-5D-BAS,Mar,PLATAFORMA DE MANATI 1,0,""184,496"",0,""18342,93578"",""53,194"",,,,,,,,"
"2019,01/2019,Bahia,Camamu,MANATI,7-MNT-6D-BAS,Mar,PLATAFORMA DE MANATI 1,0,""166,229"",0,""22578,86292"",""47,417"",,,,,,,,"
"2019,01/2019,Bahia,Recôncavo,CANDEIAS,7-C-173D-BA,Mar,Estação Pedra Branca,95,0,""50,34563"",0,""5,137"",,,,,,,,"
2019,01/2019,Bahia,Recôncavo,CANDEIAS,7-C-174D-BA,Mar,Não Informado,0,0,0,0,0,,,,,,,,
2019,01/2019,Bahia,Recôncavo,CANDEIAS,7-C-197D-BA,Mar,Não Informado,0,0,0,0,0,,,,,,,,
2019,01/2019,Bahia,Recôncavo,CANDEIAS,7-C-201D-BA,Mar,Não Informado,0,0,0,0,0,,,,,,,,
2019,01/2019,Bahia,Recôncavo,CANDEIAS,7-C-202D-BA,Mar,Não Informado,0,0,0,0,0,,,,,,,,
