Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,Produção de Óleo (m³),Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
1990,01/1990,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,3-CSMC-8-AL,Terra,Não Informado,"37,5",0,"251,724",0,"2,4",,,,,,,,
1990,01/1990,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,5-CSMC-9-AL,Terra,Não Informado,0,0,0,191,0,,,,,,,,
1990,01/1990,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-17-AL,Terra,Não Informado,"49,1",0,"117,8721",0,"2,3",,,,,,,,
1990,01/1990,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-25-AL,Terra,Não Informado,0,0,0,10,0,,,,,,,,
1990,01/1990,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-32-AL,Terra,Não Informado,"147,4",0,"448,4039",0,"2,3",,,,,,,,
1990,01/1990,Alagoas,Alagoas,COQUEIRO SECO,1-CS-1-AL,Terra,Não Informado,0,0,0,189,0,,,,,,,,
1990,01/1990,Alagoas,Alagoas,COQUEIRO SECO,3-CS-3-AL,Terra,Não Informado,"39,4",0,"3,8547",0,"354,6",,,,,,,,
1990,01/1990,Alagoas,Alagoas,COQUEIRO SECO,7-CS-14D-AL,Terra,Não Informado,"25,6",0,"7,185",0,7,,,,,,,,
1990,01/1990,Alagoas,Alagoas,COQUEIRO SECO,7-CS-16-AL,Terra,Não Informado,51,0,"17,9603",0,"7,1",,,,,,,,
1990,01/1990,Alagoas,Alagoas,FAZENDA PAU BRASIL,1-FPB-3-AL,Terra,Não Informado,372,0,117,0,0,,,,,,,,
1990,01/1990,Alagoas,Alagoas,FURADO,3-FTD-3-AL,Terra,Não Informado,"32,1",0,"4,2747",0,0,,,,,,,,
1990,01/1990,Alagoas,Alagoas,FURADO,3-FTD-6-AL,Terra,Não Informado,"138,4",0,"160,8835",0,"78,8",,,,,,,,
