Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,Produção de Óleo (m³),Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
1992,01/1992,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,3-CSMC-11-AL,Terra,Não Informado,0,0,0,890,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,3-CSMC-8-AL,Terra,Não Informado,"52,7",0,589,0,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,5-CSMC-9-AL,Terra,Não Informado,0,0,0,133,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-17-AL,Terra,Não Informado,"71,3",0,248,0,"18,6",,,,,,,,
1992,01/1992,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-25-AL,Terra,Não Informado,0,0,0,228,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,COQUEIRO SECO,3-CS-3-AL,Terra,Não Informado,"55,8",0,"1,4236",0,"874,2",,,,,,,,
1992,01/1992,Alagoas,Alagoas,COQUEIRO SECO,7-CS-14D-AL,Terra,Não Informado,"37,2",0,"2,5764",0,"133,3",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FAZENDA PAU BRASIL,1-FPB-3-AL,Terra,Não Informado,268,0,96,0,"17,7",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,3-FTD-7-AL,Terra,Não Informado,242,0,"235,6614",0,"9,3",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,3-FTD-8-AL,Terra,Não Informado,0,0,117,0,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,3-FTD-9-AL,Terra,Não Informado,"118,2",0,"12,9314",0,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,3-FU-4-AL,Terra,Não Informado,"95,6",0,"217,1137",0,"3,1",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,3-FU-5-AL,Terra,Não Informado,"643,3",0,"74,7982",0,34,,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-100-AL,Terra,Não Informado,"236,5",0,"47,5982",0,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-103-AL,Terra,Não Informado,"193,9",0,"25,4783",0,"3,1",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-104-AL,Terra,Não Informado,"47,7",0,"44,6995",0,"292,4",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-108-AL,Terra,Não Informado,"109,6",0,"13,4492",0,"2,1",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-113D-AL,Terra,Não Informado,"142,2",0,"60,1033",0,"9,2",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-115-AL,Terra,Não Informado,"32,2",0,"11,644",0,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-118-AL,Terra,Não Informado,188,0,"64,694",0,"117,8",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-11D-AL,Terra,Não Informado,"246,3",0,"746,3914",0,"3,1",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-122-AL,Terra,Não Informado,"366,1",0,"108,3143",0,"304,7",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-123-AL,Terra,Não Informado,"249,5",0,"233,2929",0,"3,1",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-127-AL,Terra,Não Informado,"185,6",0,"16,2568",0,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-17-AL,Terra,Não Informado,"374,3",0,"1307,641",0,"225,3",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-22-AL,Terra,Não Informado,10,0,"1,3751",0,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-24-AL,Terra,Não Informado,"148,2",0,"32,2795",0,"15,3",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-25-AL,Terra,Não Informado,65,0,"7,1044",0,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-26-AL,Terra,Não Informado,"82,2",0,"536,8349",0,"30,4",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-29-AL,Terra,Não Informado,"433,1",0,"156,4714",0,"39,3",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-32-AL,Terra,Não Informado,0,0,661,0,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-34-AL,Terra,Não Informado,205,0,"40,4568",0,"57,8",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-35-AL,Terra,Não Informado,"42,1",0,"5,4998",0,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-43-AL,Terra,Não Informado,"96,7",0,"19,1771",0,"13,4",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-45-AL,Terra,Não Informado,34,0,"15,2592",0,"40,2",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-46-AL,Terra,Não Informado,"3,4",0,"0,5732",0,"2,3",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-48-AL,Terra,Não Informado,"126,5",0,"789,7453",0,"8,4",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-49-AL,Terra,Não Informado,"343,3",0,"308,3918",0,"46,5",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-51-AL,Terra,Não Informado,"206,3",0,"53,9425",0,"3,1",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-54-AL,Terra,Não Informado,"220,1",0,"193,4209",0,3,,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-58-AL,Terra,Não Informado,"393,3",0,"198,7038",0,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-61D-AL,Terra,Não Informado,0,0,0,735,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-68-AL,Terra,Não Informado,"260,2",0,"222,5469",0,"3,1",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-72-AL,Terra,Não Informado,389,0,"50,9868",0,"37,3",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-73-AL,Terra,Não Informado,0,0,0,294,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-74-AL,Terra,Não Informado,"135,2",0,"343,0132",0,"16,2",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-78-AL,Terra,Não Informado,0,0,0,1878,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-84-AL,Terra,Não Informado,"245,6",0,"107,95",0,"25,5",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-86D-AL,Terra,Não Informado,"410,6",0,"441,4324",0,"3,1",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-88D-AL,Terra,Não Informado,"201,2",0,"186,3567",0,"544,8",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-89-AL,Terra,Não Informado,"272,8",0,"29,7263",0,"4,5",,,,,,,,
1992,01/1992,Alagoas,Alagoas,FURADO,7-FU-93-AL,Terra,Não Informado,"255,2",0,"241,6847",0,"14,4",,,,,,,,
1992,01/1992,Alagoas,Alagoas,JEQUIÁ,3-JA-2-AL,Terra,Não Informado,62,0,5,0,"18,6",,,,,,,,
1992,01/1992,Alagoas,Alagoas,PIAÇABUÇU,1-PIA-5-AL,Terra,Não Informado,62,0,"6,363",0,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,PIAÇABUÇU,9-PIA-22-AL,Terra,Não Informado,186,0,"7,637",0,"3,1",,,,,,,,
1992,01/1992,Alagoas,Alagoas,PILAR,1-PIR-1-AL,Terra,Não Informado,0,0,0,4302,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,PILAR,1-RSA-1-AL,Terra,Não Informado,0,0,0,177,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,PILAR,3-PIR-13-AL,Terra,Não Informado,0,0,1477,0,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,PILAR,3-PIR-3-AL,Terra,Não Informado,"151,2",0,4572,0,0,,,,,,,,
1992,01/1992,Alagoas,Alagoas,PILAR,3-PIR-49-AL,Terra,Não Informado,"231,9",0,447,0,"1217,7",,,,,,,,
1992,01/1992,Alagoas,Alagoas,PILAR,3-PIR-5-AL,Terra,Não Informado,"385,2",0,"65,6717",0,28,,,,,,,,
1992,01/1992,Alagoas,Alagoas,PILAR,3-PIR-52-AL,Terra,Não Informado,"581,4",0,"803,5935",0,"43,6",,,,,,,,
