Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,Produção de Óleo (m³),Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
1975,01/1975,Alagoas,Alagoas,COQUEIRO SECO,3-CS-3-AL,Terra,Não Informado,"146,3",0,"2,204",0,"220,4",,,,,,,,
1975,01/1975,Alagoas,Alagoas,COQUEIRO SECO,3-CS-9-AL,Terra,Não Informado,"181,7",0,"2,735",0,"197,6",,,,,,,,
1975,01/1975,Alagoas,Alagoas,FURADO,3-FTD-3-AL,Terra,Não Informado,"85,3",0,"4,87",0,0,,,,,,,,
1975,01/1975,Alagoas,Alagoas,FURADO,3-FTD-6-AL,Terra,Não Informado,670,0,"112,923",0,"3,1",,,,,,,,
1975,01/1975,Alagoas,Alagoas,FURADO,3-FTD-7-AL,Terra,Não Informado,"1712,3",0,"798,164",0,"2,6",,,,,,,,
1975,01/1975,Alagoas,Alagoas,FURADO,3-FTD-8-AL,Terra,Não Informado,"84,6",0,"191,196",0,0,,,,,,,,
1975,01/1975,Alagoas,Alagoas,FURADO,3-FTD-9-AL,Terra,Não Informado,"1585,9",0,"28,547",0,"9,2",,,,,,,,
1975,01/1975,Alagoas,Alagoas,FURADO,3-FU-4-AL,Terra,Não Informado,"214,6",0,"10,279",0,"2,6",,,,,,,,
1975,01/1975,Alagoas,Alagoas,FURADO,3-FU-5-AL,Terra,Não Informado,"1061,2",0,"31,013",0,"315,5",,,,,,,,
1975,01/1975,Alagoas,Alagoas,FURADO,3-FU-7-AL,Terra,Não Informado,"544,5",0,"34,304",0,"60,2",,,,,,,,
1975,01/1975,Alagoas,Alagoas,FURADO,7-FU-10D-AL,Terra,Não Informado,"34,2",0,"3,14",0,0,,,,,,,,
1975,01/1975,Alagoas,Alagoas,FURADO,7-FU-11D-AL,Terra,Não Informado,"272,4",0,"4,905",0,0,,,,,,,,
1975,01/1975,Alagoas,Alagoas,FURADO,7-FU-13-AL,Terra,Não Informado,"2422,9",0,"775,346",0,"37,6",,,,,,,,
1975,01/1975,Alagoas,Alagoas,FURADO,7-FU-14-AL,Terra,Não Informado,"1104,3",0,"28,711",0,0,,,,,,,,
1975,01/1975,Alagoas,Alagoas,FURADO,7-FU-15-AL,Terra,Não Informado,"634,8",0,"54,593",0,"0,6",,,,,,,,
1975,01/1975,Alagoas,Alagoas,FURADO,7-FU-16D-AL,Terra,Não Informado,"1201,7",0,"203,321",0,"7,4",,,,,,,,
1975,01/1975,Alagoas,Alagoas,TABULEIRO DOS MARTINS,3-TM-2-AL,Terra,Não Informado,"96,5",0,"5,135",0,"9,2",,,,,,,,
1975,01/1975,Alagoas,Alagoas,TABULEIRO DOS MARTINS,3-TM-3-AL,Terra,Não Informado,"75,9",0,"9,931",0,0,,,,,,,,
1975,01/1975,Alagoas,Alagoas,TABULEIRO DOS MARTINS,3-TM-6-AL,Terra,Não Informado,"88,3",0,"1,071",0,"25,2",,,,,,,,
1975,01/1975,Alagoas,Alagoas,TABULEIRO DOS MARTINS,3-TM-9-AL,Terra,Não Informado,415,0,"2,903",0,"270,2",,,,,,,,
1975,01/1975,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-10-AL,Terra,Não Informado,"204,1",0,"2,096",0,"312,5",,,,,,,,
1975,01/1975,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-12-AL,Terra,Não Informado,"89,6",0,"1,35",0,7,,,,,,,,
1975,01/1975,Alagoas,Alagoas,TABULEIRO DOS MARTINS,7-TM-15-AL,Terra,Não Informado,"246,3",0,"2,219",0,"129,3",,,,,,,,
