Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,Produção de Óleo (m³),Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
1989,01/1989,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,3-CSMC-8-AL,Terra,Não Informado,"80,6",0,"199,5423",0,"3,1",,,,,,,,
1989,01/1989,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,5-CSMC-9-AL,Terra,Não Informado,0,0,0,388,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-17-AL,Terra,Não Informado,"89,9",0,"162,3765",0,"6,2",,,,,,,,
1989,01/1989,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-20-AL,Terra,Não Informado,0,0,0,255,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-25-AL,Terra,Não Informado,0,0,0,282,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,CIDADE DE SÃO MIGUEL DOS CAMPOS,7-CSMC-32-AL,Terra,Não Informado,"263,5",0,"610,0812",0,"3,1",,,,,,,,
1989,01/1989,Alagoas,Alagoas,COQUEIRO SECO,1-CS-1-AL,Terra,Não Informado,0,0,0,317,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,COQUEIRO SECO,3-CS-3-AL,Terra,Não Informado,"58,9",0,"8,8638",0,"151,9",,,,,,,,
1989,01/1989,Alagoas,Alagoas,COQUEIRO SECO,7-CS-14D-AL,Terra,Não Informado,"21,7",0,"9,8184",0,"15,5",,,,,,,,
1989,01/1989,Alagoas,Alagoas,COQUEIRO SECO,7-CS-15-AL,Terra,Não Informado,"3,1",0,"2,0459",0,"74,4",,,,,,,,
1989,01/1989,Alagoas,Alagoas,COQUEIRO SECO,7-CS-16-AL,Terra,Não Informado,"71,3",0,"39,2719",0,"9,3",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FAZENDA PAU BRASIL,1-FPB-3-AL,Terra,Não Informado,548,0,124,0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,1-FTD-1-AL,Terra,Não Informado,83,0,"5,6709",0,"125,2",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,3-FTD-3-AL,Terra,Não Informado,"42,9",0,"2,8359",0,"27,6",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,3-FTD-6-AL,Terra,Não Informado,"158,6",0,"235,5369",0,"40,8",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,3-FTD-7-AL,Terra,Não Informado,385,0,"116,3406",0,"9,3",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,3-FTD-8-AL,Terra,Não Informado,0,0,154,0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,3-FU-4-AL,Terra,Não Informado,"145,5",0,"245,1907",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,3-FU-5-AL,Terra,Não Informado,"120,7",0,"53,7414",0,58,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,3-FU-64-AL,Terra,Não Informado,"37,1",0,"2,6683",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-100-AL,Terra,Não Informado,"270,1",0,"84,3988",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-101-AL,Terra,Não Informado,"96,6",0,"387,3763",0,11,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-103-AL,Terra,Não Informado,199,0,"66,6957",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-104-AL,Terra,Não Informado,"48,3",0,"38,0297",0,"112,1",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-105-AL,Terra,Não Informado,"85,7",0,"8,7566",0,"37,1",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-107-AL,Terra,Não Informado,"48,5",0,"8,2766",0,"11,9",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-108-AL,Terra,Não Informado,"118,5",0,"10,0079",0,"3,1",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-115-AL,Terra,Não Informado,380,0,"175,1571",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-118-AL,Terra,Não Informado,"352,2",0,"156,8256",0,"182,2",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-11D-AL,Terra,Não Informado,"319,7",0,"37,9465",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-122-AL,Terra,Não Informado,"910,9",0,"77,3525",0,"389,9",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-123-AL,Terra,Não Informado,"887,7",0,"362,7858",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-13-AL,Terra,Não Informado,"144,6",0,"65,9594",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-15-AL,Terra,Não Informado,"69,2",0,"46,2836",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-17-AL,Terra,Não Informado,87,0,"603,1975",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-19-AL,Terra,Não Informado,0,0,0,75,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-20-AL,Terra,Não Informado,0,0,0,279,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-24-AL,Terra,Não Informado,"293,8",0,"100,0777",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-27-AL,Terra,Não Informado,"12,3",0,"2,0851",0,"30,8",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-29-AL,Terra,Não Informado,"240,7",0,"184,7059",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-33-AL,Terra,Não Informado,3,0,"1,2511",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-34-AL,Terra,Não Informado,"268,3",0,"18,1809",0,"3,1",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-35-AL,Terra,Não Informado,"48,4",0,"8,3397",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-43-AL,Terra,Não Informado,251,0,"63,7993",0,"62,5",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-45-AL,Terra,Não Informado,"109,7",0,"77,2043",0,"50,2",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-46-AL,Terra,Não Informado,108,0,"7,3389",0,72,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-47D-AL,Terra,Não Informado,"0,9",0,"3,1515",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-48-AL,Terra,Não Informado,"53,9",0,"7,167",0,"2,4",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-50-AL,Terra,Não Informado,"195,5",0,"100,0778",0,"3,1",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-54-AL,Terra,Não Informado,"392,2",0,"317,2618",0,34,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-58-AL,Terra,Não Informado,"134,4",0,"114,6729",0,"34,3",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-61D-AL,Terra,Não Informado,0,0,0,725,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-68-AL,Terra,Não Informado,"448,6",0,"479,7053",0,"395,2",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-72-AL,Terra,Não Informado,"488,5",0,"44,8104",0,"138,1",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-73-AL,Terra,Não Informado,0,0,0,264,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-74-AL,Terra,Não Informado,295,0,"722,5612",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-77-AL,Terra,Não Informado,"99,2",0,"16,6797",0,"149,3",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-79D-AL,Terra,Não Informado,"67,9",0,"35,027",0,"102,7",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-84-AL,Terra,Não Informado,"197,4",0,"112,087",0,6,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-86D-AL,Terra,Não Informado,"409,7",0,"261,837",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-87-AL,Terra,Não Informado,"123,5",0,"8,3398",0,"9,8",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-88D-AL,Terra,Não Informado,"121,9",0,"20,8496",0,"184,4",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-89-AL,Terra,Não Informado,"327,5",0,"1378,175",0,"237,4",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-92-AL,Terra,Não Informado,"45,1",0,"18,2394",0,"12,1",,,,,,,,
1989,01/1989,Alagoas,Alagoas,FURADO,7-FU-93-AL,Terra,Não Informado,"67,6",0,"9,3406",0,"3,1",,,,,,,,
1989,01/1989,Alagoas,Alagoas,JEQUIÁ,3-JA-2-AL,Terra,Não Informado,124,0,2,0,"3,1",,,,,,,,
1989,01/1989,Alagoas,Alagoas,PIAÇABUÇU,1-PIA-5-AL,Terra,Não Informado,"184,1",0,"18,6",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,PIAÇABUÇU,9-PIA-22-AL,Terra,Não Informado,"306,9",0,"12,4",0,"6,1",,,,,,,,
1989,01/1989,Alagoas,Alagoas,PILAR,3-PIR-3-AL,Terra,Não Informado,"166,9",0,7134,0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,PILAR,3-PIR-5-AL,Terra,Não Informado,"125,3",0,"23,7138",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,PILAR,3-PIR-52-AL,Terra,Não Informado,"199,2",0,"245,8859",0,"1,9",,,,,,,,
1989,01/1989,Alagoas,Alagoas,PILAR,4-PIR-4-AL,Terra,Não Informado,"1447,9",0,"67,3994",0,35,,,,,,,,
1989,01/1989,Alagoas,Alagoas,PILAR,7-PIR-10-AL,Terra,Não Informado,"146,4",0,"16,7584",0,"3,1",,,,,,,,
1989,01/1989,Alagoas,Alagoas,PILAR,7-PIR-101-AL,Terra,Não Informado,"364,4",0,"27,0306",0,6,,,,,,,,
1989,01/1989,Alagoas,Alagoas,PILAR,7-PIR-102-AL,Terra,Não Informado,"51,3",0,"8,8288",0,"3,1",,,,,,,,
1989,01/1989,Alagoas,Alagoas,PILAR,7-PIR-104-AL,Terra,Não Informado,"95,7",0,"27,0537",0,"1,9",,,,,,,,
1989,01/1989,Alagoas,Alagoas,PILAR,7-PIR-108-AL,Terra,Não Informado,"929,7",0,"60,6559",0,"3,1",,,,,,,,
1989,01/1989,Alagoas,Alagoas,PILAR,7-PIR-11-AL,Terra,Não Informado,0,0,0,289,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,PILAR,7-PIR-112-AL,Terra,Não Informado,"261,1",0,"255,0661",0,0,,,,,,,,
1989,01/1989,Alagoas,Alagoas,PILAR,7-PIR-118D-AL,Terra,Não Informado,1138,0,"105,9128",0,"26,7",,,,,,,,
1989,01/1989,Alagoas,Alagoas,PILAR,7-PIR-120-AL,Terra,Não Informado,"989,1",0,"466,9541",0,"9,3",,,,,,,,
1989,01/1989,Alagoas,Alagoas,PILAR,7-PIR-126-AL,Terra,Não Informado,"120,9",0,"5,5861",0,"6,2",,,,,,,,
1989,01/1989,Alagoas,Alagoas,PILAR,7-PIR-128-AL,Terra,Não Informado,"59,1",0,"19,0741",0,152,,,,,,,,
