Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,Produção de Óleo (m³),Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-48-AL,Terra,Não Informado,"61,7",0,"15,1947",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-49-AL,Terra,Não Informado,330,0,"483,1928",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-50-AL,Terra,Não Informado,"78,9",0,"32,668",0,"7,5",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-51-AL,Terra,Não Informado,"142,8",0,"39,4098",0,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-54-AL,Terra,Não Informado,202,0,"186,6419",0,75,,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-58-AL,Terra,Não Informado,"298,2",0,"169,5462",0,"3,1",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-61D-AL,Terra,Não Informado,0,0,0,415,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-68-AL,Terra,Não Informado,"507,4",0,"259,2392",0,"261,8",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-72-AL,Terra,Não Informado,"332,2",0,"146,7996",0,"192,4",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-74-AL,Terra,Não Informado,"202,2",0,"536,9442",0,"3,1",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-77-AL,Terra,Não Informado,"14,6",0,"2,1104",0,"14,6",,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-78-AL,Terra,Não Informado,0,0,0,928,0,,,,,,,,
1991,01/1991,Alagoas,Alagoas,FURADO,7-FU-80-AL,Terra,Não Informado,"47,7",0,"6,4946",0,"2,7",,,,,,,,
